n,m(n)
1,4
2,6
3,8
4,11
5,15
6,19
7,23
8,28
9,34
10,40
11,46
12,53
13,61
14,69
15,77
16,86
17,96
18,106
19,116
20,127
21,139
22,151
23,163
24,176
25,190
26,204
27,218
28,233
29,249
30,265
31,281
32,298
33,316
34,334
35,352
36,371
37,391
38,411
39,431
40,452
41,474
42,496
43,518
44,541
45,565
46,589
47,613
48,638
49,664
50,690
51,716
52,743
53,771
54,799
55,827
56,856
57,886
58,916
59,946
60,977
61,1009
62,1041
63,1073
64,1106
65,1140
66,1174
67,1208
68,1243
69,1279
70,1315
71,1351
72,1388
73,1426
74,1464
75,1502
76,1541
77,1581
78,1621
79,1661
80,1702
81,1744
82,1786
83,1828
84,1871
85,1915
86,1959
87,2003
88,2048
89,2094
90,2140
91,2186
92,2233
93,2281
94,2329
95,2377
96,2426
97,2476
98,2526
99,2576
100,2627
